context,question,answer,pasal,ayat
,Apakah syarat penyelenggaraan program sarjana dan sarjana terapan harus memiliki izin penyelenggaraan atau akreditasi yang masih berlaku?,"Ya, penyelenggaraan program studi harus mempunyai izin penyelenggaraan atau memiliki akreditasi yang masih berlaku.",3.0,1
,Apakah program studi baru harus melalui proses akreditasi sebelum diaktifkan?,"Ya, program studi baru harus terakreditasi sesuai dengan ketentuan yang berlaku.",3.0,2
,Apa saja status akreditasi yang diberikan oleh Badan Akreditasi Nasional Perguruan Tinggi?,"Status terakreditasi, tidak terakreditasi, atau terakreditasi dengan peringkat A, B, atau C.",3.0,3
,Apakah ada lembaga lain selain Badan Akreditasi Nasional Perguruan Tinggi yang dapat memberikan akreditasi program studi?,"Ya, Lembaga Akreditasi Mandiri dan lembaga akreditasi internasional yang diakui kementerian yang menangani pendidikan tinggi juga dapat memberikan akreditasi.",3.0,3
,Apa saja jenis program sarjana dan sarjana terapan yang dapat diselenggarakan?,"Jenis-jenis program tersebut meliputi kelas reguler, kelas internasional, kelas kerjasama, dan PSDKU.",3.0,4
,Apakah syarat untuk menyelenggarakan program sarjana dan sarjana terapan kelas internasional?,Program studi harus menyelenggarakan program sarjana kelas reguler yang terakreditasi peringkat A/unggul atau terakreditasi internasional.,3.0,5
,"Apa yang dimaksud dengan pembukaan, penutupan, penggabungan, dan penggantian nama program studi?","Pembukaan, penutupan, penggabungan, dan penggantian nama program studi mengikuti ketentuan yang berlaku.",3.0,6
,Apa tujuan utama kelas reguler dalam program pendidikan sarjana?,Tujuan utama kelas reguler adalah mendidik lulusan baru (fresh graduate) Sekolah Menengah Atas yang selanjutnya disingkat SMA atau yang sederajat.,4.0,1
,Siapa target utama dari program pendidikan sarjana reguler?,Target utama dari program pendidikan sarjana reguler adalah lulusan baru (fresh graduate) Sekolah Menengah Atas.,4.0,1
,Apa yang harus digunakan oleh kelas reguler?,Kurikulum.,4.0,2
,Apa bahasa pengantar utama yang digunakan pada kelas reguler?,Bahasa Indonesia.,4.0,3
,Apa tujuan menyelenggarakan kelas mata kuliah dengan pengantar Bahasa Inggris di Program Studi?,Meningkatkan kemampuan berbahasa asing sebagai kompetensi pendukung.,4.0,4
,Apakah mahasiswa asing dapat mendaftar ke kelas reguler?,"Ya, mahasiswa asing dapat mendaftar dan bergabung di kelas regular dengan menggunakan Bahasa Inggris dan Bahasa Indonesia sebagai bahasa pengantar.",4.0,5
,Apakah calon mahasiswa program sarjana harus warga negara Indonesia atau warga negara asing untuk dapat mendaftar?,"Ya, calon mahasiswa program sarjana harus memenuhi syarat sebagai warga negara Indonesia (WNI) atau warga negara asing (WNA) yang telah mendapatkan izin belajar dari kementerian yang mengelola pendidikan tinggi.",9.0,1
,Apa syarat yang menentukan calon mahasiswa untuk mengikuti kelas kerja sama?,Syarat bagi calon mahasiswa kelas kerja sama ditetapkan berdasarkan MoU dan PKS.,9.0,2
,Apakah mahasiswa diperkenankan terdaftar pada lebih dari satu Program Studi di Perguruan Tinggi Negeri?,"Tidak, kecuali jika mengikuti program yang diselenggarakan oleh Pemerintah Indonesia melalui kementerian yang mengelola pendidikan tinggi.",12.0,1
,Apakah tindakan yang akan diambil terhadap mahasiswa yang terdaftar pada lebih dari 1 (satu) Program Studi?,Wakil Rektor Bidang Akademik akan mengirimkan surat teguran kepada yang bersangkutan untuk segera menentukan Program Studi pilihannya dengan tembusan kepada Dekan.,12.0,2
,Apakah batas waktu untuk menyampaikan pemberitahuan tertulis tentang pilihan mahasiswa?,Paling lambat 20 (dua puluh) hari kerja terhitung sejak surat teguran tertulis diterbitkan.,12.0,3
,Apakah Universitas dapat menerbitkan keputusan rektor mengenai pengunduran diri mahasiswa dari salah satu Program Studi?,"Ya, Universitas dapat menerbitkan Keputusan Rektor UPN “Veteran” Jawa Timur tentang pengunduran diri mahasiswa dari salah satu Program Studi.",12.0,4
,Apakah yang akan dilakukan pihak universitas jika pilihan Program Studi tidak disampaikan dalam batas waktu yang ditentukan?,Pihak universitas akan menerbitkan Keputusan Rektor UPN “Veteran” Jawa Timur tentang pemutusan hubungan studi.,12.0,5
,Bagaimana cara pemenuhan masa dan beban belajar sebagaimana yang dimaksud pada Pasal 16 ayat (1)?,"Pemenuhan masa dan beban belajar dapat dilakukan dengan mengikuti seluruh proses pembelajaran dalam Program Studi pada perguruan tinggi sesuai masa dan beban belajar, atau mengikuti proses pembelajaran di dalam Program Studi untuk memenuhi sebagian masa dan beban belajar dan sisanya mengikuti proses pembelajaran di luar Program Studi.",17.0,1
,Apa yang harus dilakukan oleh Program Studi dan Fakultas menurut peraturan tersebut?,Mereka wajib memfasilitasi pelaksanaan pemenuhan masa dan beban belajar dalam proses pembelajaran.,17.0,2
,Apakah waktu maksimal untuk menyelesaikan masa studi dalam Program Studi?,Paling lama 6 (enam) semester.,17.0,3
,Apakah kegiatan magang merupakan bagian dari kurikulum program studi sarjana terapan?,"Ya, kegiatan magang wajib dilaksanakan sebagai salah satu persyaratan program studi sarjana terapan.",17.0,4
