context,question,answer,valid?
KETENTUAN UMUM,"Apa peran Rektor di UPN ""Veteran"" Jawa Timur?","Rektor adalah organ UPN ""Veteran"" Jawa Timur yang memimpin penyelenggaraan dan pengelolaan UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,"Apa saja fungsi Senat UPN ""Veteran"" Jawa Timur di bidang akademik?","Senat UPN ""Veteran"" Jawa Timur berfungsi menetapkan kebijakan, memberikan pertimbangan, dan melakukan pengawasan di bidang akademik.",
KETENTUAN UMUM,Siapakah Dekan dan apa kewenangan serta tanggung jawabnya?,Dekan adalah pimpinan fakultas yang berwenang dan bertanggung jawab terhadap penyelenggaraan pendidikan di masing-masing fakultas.,
KETENTUAN UMUM,"Berdasarkan ketentuan umum, bagaimana Fakultas didefinisikan?","Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu rumpun disiplin ilmu pengetahuan-teknologi, humaniora, dan seni.",
KETENTUAN UMUM,Bagaimana pengertian Jurusan dijelaskan dalam ketentuan ini?,"Jurusan adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik dalam satu bidang ilmu pengetahuan, teknologi, humaniora, dan seni.",
KETENTUAN UMUM,Siapakah yang dimaksud dengan Dosen menurut ketentuan ini?,"Dosen adalah tenaga pendidik yang mengajar mahasiswa UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,"Siapa yang dimaksud dengan dosen dalam lingkup UPN ""Veteran"" Jawa Timur?","Dosen adalah tenaga pendidik yang mengajar mahasiswa UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,"Apa peran dan tanggung jawab seorang Pembimbing Akademik (PA) di UPN ""Veteran"" Jawa Timur?","Pembimbing Akademik (PA) adalah dosen yang ditunjuk oleh fakultas untuk membimbing dan mengarahkan mahasiswa dalam menyusun rencana studi sesuai dengan aturan yang berlaku, serta mengikuti perkembangan studi mahasiswa yang menjadi tanggung jawab bimbingannya.",
KETENTUAN UMUM,Siapa yang berwenang menunjuk Pembimbing skripsi/prototype/tugas akhir dan apa tugas utamanya?,Pembimbing skripsi/prototype/tugas akhir ditunjuk oleh Dekan untuk membimbing penyusunan karya tulis tugas akhir mahasiswa.,
KETENTUAN UMUM,"Siapakah yang dikategorikan sebagai mahasiswa asing di UPN ""Veteran"" Jawa Timur?","Mahasiswa asing adalah peserta didik pada jenjang pendidikan tinggi di UPN ""Veteran"" Jawa Timur yang berasal dari Warga Negara Asing (WNA).",
KETENTUAN UMUM,Bagaimanakah karakteristik program sarjana sebagai pendidikan akademik?,Program sarjana merupakan pendidikan akademik yang diperuntukkan bagi lulusan pendidikan menengah atau sederajat sehingga mampu mengamalkan ilmu pengetahuan dan teknologi melalui penalaran ilmiah.,
KETENTUAN UMUM,Apa yang dimaksud dengan Kerangka Kualifikasi Nasional Indonesia (KKNI)?,"Kerangka Kualifikasi Nasional Indonesia yang selanjutnya disingkat KKNI adalah kerangka penjenjangan kualifikasi kompetensi yang dapat menyandingkan, menyetarakan dan mengintegrasikan antara bidang pendidikan dan bidang pelatihan kerja serta pengalaman kerja dalam rangka pemberian pengakuan kompetensi kerja sesuai dengan struktur pekerjaan di berbagai sektor.",
KETENTUAN UMUM,Komponen-komponen apa saja yang membentuk kurikulum sebagai pedoman penyelenggaraan program studi?,"Kurikulum terbentuk dari seperangkat rencana dan pengaturan yang mencakup capaian pembelajaran lulusan, bahan kajian, proses, dan penilaian.",
KETENTUAN UMUM,Bagaimana peran mahasiswa dan dosen dalam sistem pembelajaran Student Centered Learning (SCL)?,"Dalam sistem Student Centered Learning (SCL), mahasiswa berperan sebagai pelaku utama dalam proses pembelajaran, sementara dosen berfungsi sebagai fasilitator dan motivator.",
KETENTUAN UMUM,"Kegiatan akademik apa saja yang tidak dibebankan kepada peserta didik yang berstatus 'Sit in' di UPN ""Veteran"" Jawa Timur?","Peserta didik yang berstatus 'Sit in' tidak dibebani kegiatan akademik berupa ujian, penelitian, dan tugas-tugas lainnya.",
KETENTUAN UMUM,Apakah yang dimaksud dengan Transfer kredit (Credit Transfer)?,"Transfer kredit (Credit Transfer) adalah transfer atau konversi SKS mata kuliah yang diperoleh dari luar program studinya, yang direncanakan dan secara sistematis tercantum dalam kurikulum program studi tersebut, serta dapat diambil baik di dalam maupun di luar UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,Bagaimana definisi Pertukaran mahasiswa (Student Exchange) sesuai ketentuan umum?,"Pertukaran mahasiswa (Student Exchange) adalah kegiatan pertukaran mahasiswa UPN ""Veteran"" Jawa Timur dengan perguruan tinggi lain, baik di dalam maupun di luar negeri, yang meliputi kegiatan akademik dan/atau seni serta didasarkan pada kesepakatan kedua belah pihak.",
KETENTUAN UMUM,Jelaskan pengertian Twinning Program.,"Twinning Program adalah pengembangan program studi yang sama antara UPN ""Veteran"" Jawa Timur dengan perguruan tinggi dari dalam maupun luar negeri dengan cara melakukan sinkronisasi kurikulum kedua program studi dalam rangka menyelenggarakan proses pembelajaran bersama.",
KETENTUAN UMUM,Apa yang dimaksud dengan Program Bersama (Joint Program) dalam penyelenggaraan pendidikan tinggi?,Program Bersama (Joint Program) adalah suatu program penyelenggaraan pendidikan tinggi yang dilaksanakan berdasarkan kerjasama antar fakultas atau dengan perguruan tinggi lain di dalam atau luar negeri dengan tujuan untuk penyetaraan atau pengakuan program.,
KETENTUAN UMUM,Hasil apa yang dapat diperoleh dari pelaksanaan Joint Program?,"Joint Program dapat menghasilkan gelar dari dual program, yang merupakan hasil dari program double degree atau joint degree.",
KETENTUAN UMUM,Bagaimana perbedaan antara Double Degree dan Joint Degree berdasarkan ketentuan ini?,"Double Degree adalah gelar ganda yang diperoleh dari UPN ""Veteran"" Jawa Timur dan dari perguruan tinggi lain, yang menghasilkan 2 (dua) ijazah. Sementara itu, Joint Degree adalah gelar yang diperoleh dari UPN ""Veteran"" Jawa Timur bersama perguruan tinggi lain, yang menghasilkan 1 (satu) ijazah.",
KETENTUAN UMUM,"Apakah yang dimaksud dengan PSDKU UPN ""Veteran"" Jawa Timur?","PSDKU UPN ""Veteran"" Jawa Timur adalah program studi yang diselenggarakan di kabupaten, kota, atau kota administratif yang tidak berbatasan langsung dengan kampus utama UPN ""Veteran"" Jawa Timur.",
KETENTUAN UMUM,Apa definisi status ganda bagi seorang mahasiswa?,Status ganda adalah kedudukan seorang mahasiswa dalam suatu kurun waktu tertentu yang memiliki status terdaftar sebagai mahasiswa pada dua atau lebih program studi reguler di Perguruan Tinggi Negeri (PTN).,
KETENTUAN UMUM,Untuk tujuan apa mahasiswa melakukan registrasi administratif?,Registrasi administratif adalah suatu kegiatan yang dilakukan oleh mahasiswa untuk memperoleh status terdaftar di universitas.,
KETENTUAN UMUM,Apa yang dimaksud dengan Kartu Rencana Studi (KRS) bagi seorang mahasiswa?,Kartu Rencana Studi (KRS) adalah rencana kegiatan akademik yang akan dilakukan oleh seorang mahasiswa selama semester tertentu.,
KETENTUAN UMUM,Berapa lama durasi minimal sebuah semester dalam proses pembelajaran efektif?,Semester adalah satuan proses pembelajaran efektif selama paling sedikit 16 (enam belas) minggu termasuk evaluasi Tengah Semester dan evaluasi Akhir Semester.,
KETENTUAN UMUM,Bagaimana definisi Satuan Kredit Semester (SKS) terkait beban belajar mahasiswa?,"Satuan Kredit Semester (SKS) adalah takaran waktu kegiatan belajar yang dibebankan pada mahasiswa per minggu, per semester dalam proses pembelajaran melalui berbagai bentuk pembelajaran atau besarnya pengakuan atas keberhasilan usaha mahasiswa dalam mengikuti kegiatan kurikuler di suatu program studi.",
KETENTUAN UMUM,Apa yang dimaksud dengan masa studi?,Masa studi adalah batas untuk menyelesaikan beban studi dalam mengikuti proses pendidikan pada program studinya.,
KETENTUAN UMUM,Jelaskan definisi dari Indeks Prestasi Semester (IPS).,Indeks Prestasi Semester (IPS) adalah ukuran prestasi akademik mahasiswa yang merupakan nilai rata-rata tertimbang dari nilai yang diperoleh mahasiswa tiap semester.,
KETENTUAN UMUM,Informasi apa saja yang tercantum dalam Kartu Hasil Studi (KHS)?,"Kartu Hasil Studi (KHS) adalah kartu yang memuat nilai-nilai mata kuliah, indeks prestasi pada semester berjalan dan perolehan seluruh SKS yang telah dikumpulkan serta IPK.",
KETENTUAN UMUM,Informasi apa saja yang termuat dalam Kartu Hasil Studi (KHS)?,"Kartu Hasil Studi (KHS) memuat nilai-nilai mata kuliah, indeks prestasi pada semester berjalan, perolehan seluruh SKS yang telah dikumpulkan, serta Indeks Prestasi Kumulatif (IPK).",
KETENTUAN UMUM,Apa tujuan utama dari pelaksanaan Kuliah Kerja Nyata (KKN)?,Tujuan utama dari Kuliah Kerja Nyata (KKN) adalah untuk mengidentifikasi dan membantu memecahkan permasalahan masyarakat dengan mengutamakan pemberdayaan masyarakat.,
KETENTUAN UMUM,"Dalam konteks kelulusan mahasiswa, apa peran dari tugas akhir?",Tugas akhir menjadi salah satu syarat kelulusan seorang mahasiswa yang ditetapkan berdasarkan kurikulum program studi.,
